titulo,Cidade,salario,descricao
Desenvolvedor Front-end,São Paulo,,"Desenvolvimento de soluções web voltadas para clientes de público geral e soluções para membros internos. Participação no design de API. Integração com Back-end. Participação na elaboração evolução de produtos, que somem maior valor e resultados para o negócio."
Desenvolvedor Front-end,Florianopolis,,"Graduação completa em Sistemas de Informação, Análise e desenvolvimento de sistemas ou áreas afins. Codificar novas funcionalidades usando Javascript, Typescript, SCSS, HTML5 e frameworks Front-End, pesquisar e desenvolver novas tecnologias. Garantir que as novas funcionalidades sejam documentadas e testadas de acordo com os padrões estabelecidos pela liderança técnica, compartilhar experiências, sugerir melhorias, e revisar os códigos de outros desenvolvedores."
Desenvolvedor de Software Pleno,Niteroi,,"Requisitos: Experiência com desenvolvimento de software Python 3+, Django, Django Rest Framework, banco de dados relacionais, sistema de controle de versão. Experiência em Desenvolvimento Web e APIs, RESTful, JavaScript e TypeScript. Diferencial: TDD. Atribuições: Atuar no desenvolvimento e na manutenção do sistema utilizando as linguagens Python, Django e PHP. Desenvolvimento de APIs restFULL utilizando Django Rest Fireworks. Elaboração de testes unitários para funcionalidades do sistema, banco de dados relacionais, desenvolvimento de formulários com a utilização de JS, TS, HTML e CSS."
Desenvolvedor FullStack - Nível Pleno,Rio de Janeiro,,"Desenvolvimento BackEnd: Java, J2EE, EJB, Spring, VRaptor, JPA, Hibernate. Desenvolvimento Front end: Angular ou React, Bootstrap, CSS, Javascript, Jquery. Servidores: Tomcat, Weblogic, Banco de Dados: Oracle. Experiência em desenvolvimento com Metodologia Ágil; Integração de sistemas através de Web services (SOAP/"
Desenvolvedor Front-end Sênior,São Paulo,,"Será responsável pelo desenvolvimento front-end de um projeto novo, por isso é importante o conhecimento e aplicação de boas práticas de desenvolvimento, testes de componentes e orientação aos outros desenvolvedores da equipe. Será responsável pela análise e correção de bugs, mapeamento do processo atual e desenvolvimento de melhorias. Participará das cerimônias do scrum junto ao time e PO, buscando sempre a melhoria do produto frente ao mercado."
Desenvolvedor Frontend,Londrina,,"Atuar com desenvolvimento de software, como tdd, código limpo, padrões de projeto, entre outras."
Desenvolvedor PHP Pleno,Muriae,,"Desenvolver e manter sistemas em PHP, tanto o front-end quanto back-end."
Desenvolvedor de Sistemas,Joinville,,"Participará de projetos de desenvolvimento, executando atividades de programação e testes unitários."
Desenvolvedor .NET,Belo Horizonte,,"Participar da fase de análise de requisitos, analisar e desenvolver sistemas / soluções, realizar testes de sistema, realizar publicação em ambiente de homologação, participar do processo de implantação das soluções, participar da operação assistida referente às implantações de projetos/"
Desenvolvedor Front-end,São Paulo,,"Será responsável por Angular, Design Responsivo Web, Controle de versionamento (Git/"
Desenvolvedor de Sistemas PHP - Magento Front,São Paulo,,"Desenvolvimento Front-End Magento com conhecimento em programação orientada a objetos PHP, HTML, JAVASCRIPT, GIT, CSS, SASS."
Desenvolvedor Full Stack Java Sênior,São Paulo,,"Ser responsável pela análise da demandas e correção de bugs, mapeamento do processo atual e desenvolvimento de melhorias. Participar das cerimônias do scrum junto ao time e PO."
Desenvolvedor Java Full Stack,Curitiba,,"Profissional com expertise em soluções client - servidor, que domine a análise e entendimento de necessidades e seja capaz de propor soluções de forma aderente ao negócio. Deve ter habilidade na identificação de problemas e saber utilizar as ferramentas disponíveis para a busca de soluções. Pensando em uma solução orientada a serviço, o profissional deve ser capaz de atuar em todas as etapas do ciclo de vida do desenvolvimento, como por exemplo: fazer alterações no banco de dados, criar novos serviços REST ou novas funcionalidades, testar as funcionalidades desenvolvidas, fechar um novo pacote para deploy, publicar novo pacote no servidor. Embora o profissional trabalhe em equipe, deve ser capaz de conhecer e atuar na solução de ponta a ponta, de modo que consiga na maioria das vezes, desenvolver as atividades sem dependência de outras pessoas da equipe."
Desenvolvedor Web,Joinville,,"Desenvolver novas funcionalidades com qualidade, DRY, com cobertura de testes automatizados; Propor constantes melhorias no código, afim de manter e melhorar a performance do produto; Ser focado no trabalho, garantindo as entregas e a produtividade do time."
Desenvolvedor Front End,Joinville,,"Definir padrão de interface, Elaboração de mapas de navegação do usuário, testes de usabilidade, Elaboração de mapas de navegação do usuário, testes de usabilidade, Prototipação, Fluxo do usuário e de processos."
Desenvolvedor Full Stack,Rio de Janeiro,,O Grupo Método RH em TI está com a seguinte oportunidade: Desenvolvedor Full Stack. Superior cursando ou completo em informática. Experiência com Node.
Desenvolvedor VB .NET Pleno,São Paulo,,Atuar desenvolvendo VB .
DESENVOLVEDOR IV,Teresopolis,,"Olá, Querse juntar a maior fornecedora de software de gestão de saúde? Oque gostaríamos que você tivesse: Espíritoempreendedor, inovador e persistente; Responsabilidade com resultados;"
Desenvolvedor Front-end,Florianopolis,,"Escrever código claro, simples e otimizado utilizando orientação a objetos;"
Desenvolvedor Angular,São Paulo,,"Atuará em projetos de transformação digital com Angular. Desenvolvimento de aplicativos orientados a testes. Projetar, desenvolver e implementar aplicativos de software em larga escala / complexos. Experiência em ANGULAR. Experiência em JavaScript Frameworks (jQuery, Ext JS, Kendo UI e /"
DESENVOLVEDOR PHP,São Paulo,,"Sobre a Bionexo A Bionexo é uma empresa multinacional que se propõe a transformar a gestão de saúde por meio da tecnologia. Fazemos isso através de nossos produtos que entregam mais eficiência, transparência e inteligência para Hospitais, Clínicas, Fornecedores, Indústria e outros agentes do setor, sejam eles públicos ou privados. Transacionamos +10 Bilhões de reais através de nosso marketplace, ajudando as instituições de saúde a serem mais eficientes e reduzirem custos - por ano são +500 milhões de reais economizados para o setor no Brasil. Nossos clientes representam 38% dos leitos do País e, dessa forma, impactamos +83 milhões de atendimentos/"
Analista Desenvolvedor JavaScript e Node Júnior,Salvador,,"Atuar com desenvolvimento, integração de sistemas Javascript e Node."
Analista Desenvolvedor JavaScript Sênior,Rio de Janeiro,,"Desenvolvimento de Dashboards em JavaScript, uso de Framework React e metodologia Agile."
DESENVOLVEDOR V,Teresopolis,,"Olá, Quer se juntar amaior fornecedora de software de gestão de saúde? O que gostaríamosque você tivesse: Espíritoempreendedor, inovador e persistente; Responsabilidade com resultados; Humildadee ética. Somos um time devencedores e ESTAMOS TE PROCURANDO! Desenvolvedor V Pré requisitos: Curso/"
Desenvolvedor Full Stack,São Bernardo do Campo,,"Programa, codifica e testa linguagens de programação, com base nos sistemas desenvolvidos pelos analistas. Entre outras atividades."
Desenvolvedor Front-end,São José,,Pesquisa e desenvolvimento de plataformas web. Horário: Segunda a sexta: 8 horas diárias (Flexível).
Desenvolvedor de Sistemas C / C++,São Paulo,,"Análise e levantamento de requisitos junto as áreas de negócios. Acompanhamento de implantações dos sistemas. Desenvolvimento de novas funcionalidades nos sistemas internos e próprios da empresa. Garantir o controle e verificação do escopo do projeto / demanda. Atuar como ponto focal técnico, participando das reuniões contribuindo com a definição da arquitetura e solução, garantir que a solução definida atende aos requisitos de negócios."
Desenvolvedor Back-end,Belo Horizonte,,"O que você vai fazer? Codificar e testar os sistemas desenvolvidos. Executar a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolver os trabalhos de construção, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos."
Desenvolvedor Sênior,Rio de Janeiro,,"Especificar, desenvolver, fazer testes e manutenção de aplicações (Full stack)"
Desenvolvedor Full Stack - PHP,Porto Alegre,,"Instalação de tags de Google Analytics, Tag Manager, Search Console e Facebook Pixel. Desenvolver projetos em wordpress. Desenvolver Front-end de projetos web, de acordo com layout aprovado. Criar e configurar e-mails marketing."
